no_name_set:DGifOpenFileHandle,34,44,13,9,37,36
no_name_set:DGifSlurp,60,40,19,41,34,26
no_name_set:DGifOpen,33,45,12,8,38,37
no_name_set:DGifCloseFile,16,46,10,4,32,24
no_name_set:DGifGetScreenDesc,66,39,16,39,34,25
no_name_set:DGifGetRecordType,24,41,15,9,40,33
no_name_set:DGifGetImageDesc,84,43,20,51,39,31
no_name_set:DGifGetLine,23,45,24,12,42,40
no_name_set:DGifGetPixel,19,47,20,8,44,40
no_name_set:DGifGetExtension,20,43,20,10,39,36
no_name_set:DGifGetExtensionNext,26,46,20,15,44,33
no_name_set:DGifGetCodeNext,28,48,19,15,44,33
no_name_set:DGifGetLZCodes,26,41,16,13,32,29
no_name_set:DGifExtensionToGCB,37,33,8,21,25,13
no_name_set:DGifSavedExtensionToGCB,30,47,19,15,42,34
no_name_set:DGifGetWord,23,43,14,11,36,26
no_name_set:DGifSetupDecompress,38,47,10,13,35,18
no_name_set:DGifDecompressLine,103,41,22,79,38,26
no_name_set:DGifGetPrefixChar,14,38,17,9,39,23
no_name_set:DGifDecompressInput,50,44,23,33,41,33
no_name_set:DGifBufferedInput,38,35,16,24,33,23
no_name_set:DGifBufferedInput,38,35,16,24,33,23
no_name_set:DGifDecompressInput,75,39,21,50,37,29
no_name_set:DGifGetPrefixChar,14,38,17,9,39,23
no_name_set:DGifDecompressLine,176,40,21,134,38,26
no_name_set:DGifSetupDecompress,40,48,9,14,37,18
no_name_set:DGifGetWord,23,43,14,11,36,26
no_name_set:DGifSavedExtensionToGCB,63,41,15,39,36,22
no_name_set:DGifExtensionToGCB,37,33,8,21,25,13
no_name_set:DGifGetLZCodes,105,40,23,73,38,31
no_name_set:DGifGetCodeNext,28,48,19,15,44,33
no_name_set:DGifGetCode,34,46,19,18,42,32
no_name_set:DGifGetExtensionNext,26,46,20,15,44,33
no_name_set:DGifGetExtension,36,44,23,23,43,34
no_name_set:DGifGetPixel,194,41,22,146,39,27
no_name_set:DGifGetLine,202,41,23,155,39,28
no_name_set:DGifGetImageDesc,155,43,21,108,40,28
no_name_set:DGifGetRecordType,27,37,14,8,41,37
no_name_set:DGifGetScreenDesc,86,39,18,56,35,26
no_name_set:DGifCloseFile,16,46,10,4,32,24
no_name_set:DGifOpen,103,40,18,62,36,28
no_name_set:DGifSlurp,258,41,23,198,39,28
no_name_set:DGifOpenFileHandle,100,39,18,60,35,27
no_name_set:DGifOpenFileName,102,39,17,60,35,27
no_name_set:EGifSpew,57,40,19,40,35,26
no_name_set:EGifGetGifVersion,36,45,18,18,41,31
no_name_set:EGifCloseFile,15,43,10,4,32,24
no_name_set:EGifPutScreenDesc,63,36,18,40,30,26
no_name_set:EGifPutImageDesc,67,40,17,36,34,27
no_name_set:EGifSetGifVersion,6,26,5,2,8,4
no_name_set:EGifPutLine,29,41,24,20,38,33
no_name_set:EGifPutPixel,21,42,18,11,34,31
no_name_set:EGifPutComment,20,35,20,12,34,29
no_name_set:EGifPutExtensionLeader,13,38,10,5,27,21
no_name_set:EGifPutExtensionBlock,12,40,15,6,33,28
no_name_set:EGifPutExtensionTrailer,10,39,8,3,32,21
no_name_set:EGifPutExtension,19,38,12,8,30,26
no_name_set:EGifPutCodeNext,21,37,12,12,30,20
